Model,Sampler,F1 Test,Accuracy,Avg F1 Val,Avg F1 Train,Diff F1 Train-Val,Avg bal. accuracy Val,1,2,3,4,5
XGBoost,RandomOverSampler,0.9236,0.9849,0.9201,1.0,0.07989999999999997,0.8921,0.9922,0.8332,0.9601,0.8471,0.9856
XGBoost,ADASYN,0.9118,0.9823,0.9142,1.0,0.08579999999999999,0.9115,0.9908,0.8289,0.9523,0.8036,0.9835
XGBoost,SMOTETomek,0.9112,0.9818,0.9107,0.9993,0.08860000000000001,0.9109,0.9906,0.8198,0.9507,0.8133,0.9816
XGBoost,SMOTE,0.9093,0.9816,0.9147,0.9994,0.0847,0.9117,0.9904,0.8085,0.9513,0.8121,0.9844
XGBoost,SMOTEENN,0.8924,0.9765,0.8933,0.9601,0.06679999999999997,0.9168,0.9873,0.7604,0.9476,0.7839,0.9829
ANN,SMOTE,0.8846,0.9773,0.8818,0.9714,0.08960000000000001,0.8942,0.9885,0.7843,0.9374,0.7309,0.9818
RandomForest,SMOTEENN,0.8839,0.9752,0.8869,0.9606,0.07369999999999999,0.9023,0.9863,0.7749,0.9426,0.738,0.9775
KNN,RandomOverSampler,0.8835,0.9762,0.8827,1.0,0.11729999999999996,0.8673,0.9876,0.7727,0.9319,0.7492,0.9759
ANN,SMOTETomek,0.8818,0.9767,0.88,0.9714,0.09140000000000004,0.8951,0.9881,0.7667,0.9425,0.7331,0.9787
RandomForest,ADASYN,0.8816,0.9727,0.8813,0.9745,0.09320000000000006,0.9066,0.9852,0.7515,0.9314,0.7656,0.9744
SVM,SMOTE,0.8761,0.9711,0.8648,0.9121,0.04730000000000001,0.8866,0.8612,0.7401,0.8991,0.7211,0.9787
RandomForest,RandomOverSampler,0.875,0.9761,0.8799,0.9706,0.0907,0.8652,0.9866,0.7881,0.9458,0.6795,0.975
RandomForest,SMOTE,0.8743,0.9763,0.8789,0.9607,0.08179999999999998,0.8963,0.987,0.789,0.9526,0.6633,0.9796
RandomForest,SMOTETomek,0.8697,0.9751,0.8734,0.9532,0.0798000000000001,0.8994,0.9864,0.7873,0.9473,0.6488,0.9787
KNN,SMOTETomek,0.8645,0.9724,0.8629,1.0,0.1371,0.8963,0.9858,0.7429,0.9304,0.6845,0.9788
ANN,ADASYN,0.8632,0.9699,0.8718,0.9696,0.0978,0.8858,0.9842,0.7464,0.9121,0.6959,0.9774
SVM,SMOTETomek,0.8623,0.9689,0.8545,0.9015,0.04699999999999993,0.8865,0.9799,0.7296,0.8901,0.7169,0.9779
SVM,ADASYN,0.8605,0.9678,0.8862,0.8963,0.010099999999999998,0.8955,0.9763,0.7275,0.8896,0.6993,0.9778
ANN,RandomOverSampler,0.8603,0.9667,0.8861,0.9623,0.07620000000000005,0.9097,0.9819,0.6833,0.9277,0.7332,0.9757
ANN,SMOTEENN,0.8542,0.966,0.8567,0.9312,0.07450000000000001,0.8948,0.9814,0.7003,0.927,0.6943,0.9682
SVM,SMOTEENN,0.8513,0.9632,0.83,0.88,0.050000000000000044,0.8911,0.98,0.7,0.89,0.6965,0.9788
KNN,SMOTEENN,0.844,0.9648,0.8402,0.9172,0.07700000000000007,0.9035,0.9813,0.6928,0.9183,0.6549,0.9728
KNN,ADASYN,0.8316,0.9608,0.8332,0.9314,0.09819999999999995,0.9066,0.9789,0.6706,0.9116,0.6256,0.9713
KNN,SMOTE,0.8205,0.9566,0.8166,1.0,0.1834,0.9059,0.9767,0.6339,0.9077,0.6154,0.9688
DecisionTree,RandomOverSampler,0.8184,0.9579,0.8194,0.9943,0.17489999999999994,0.8213,0.9768,0.6981,0.8761,0.5959,0.9452
DecisionTree,SMOTEENN,0.7825,0.9419,0.7812,0.9364,0.1552,0.8693,0.9674,0.5736,0.8756,0.5507,0.9453
DecisionTree,SMOTE,0.7822,0.9444,0.7874,0.9796,0.19220000000000004,0.8539,0.9695,0.6072,0.8567,0.534,0.9439
DecisionTree,SMOTETomek,0.7736,0.9377,0.7741,0.9228,0.14869999999999994,0.8608,0.9652,0.5793,0.8437,0.5404,0.9392
DecisionTree,ADASYN,0.7629,0.9375,0.7704,0.9892,0.2188,0.8474,0.9651,0.5853,0.8469,0.477,0.9402
LDA_lsqr,RandomOverSampler,0.5058,0.7066,0.5047,0.5085,0.0037999999999999146,0.7601,0.8062,0.2346,0.4362,0.1487,0.9034
LDA_svd,RandomOverSampler,0.5058,0.7066,0.5047,0.5085,0.0037999999999999146,0.7601,0.8062,0.2346,0.4362,0.1487,0.9034
LDA_lsqr,SMOTE,0.5038,0.7022,0.5047,0.509,0.0042999999999999705,0.762,0.8024,0.2332,0.4307,0.1483,0.9042
LDA_svd,SMOTETomek,0.5038,0.7023,0.5048,0.509,0.0041999999999999815,0.762,0.8025,0.2333,0.4307,0.1483,0.9042
LDA_lsqr,SMOTETomek,0.5038,0.7023,0.5048,0.509,0.0041999999999999815,0.762,0.8025,0.2333,0.4307,0.1483,0.9042
LDA_svd,SMOTE,0.5038,0.7022,0.5047,0.509,0.0042999999999999705,0.762,0.8024,0.2332,0.4307,0.1483,0.9042
LDA_svd,SMOTEENN,0.5003,0.6953,0.5008,0.5053,0.0044999999999999485,0.7611,0.7966,0.2309,0.4255,0.1462,0.9025
LDA_lsqr,SMOTEENN,0.5003,0.6953,0.5008,0.5053,0.0044999999999999485,0.7611,0.7966,0.2309,0.4255,0.1462,0.9025
LogisticRegression,RandomOverSampler,0.479,0.6754,0.4843,0.4891,0.004799999999999971,0.7753,0.7786,0.2363,0.4203,0.1506,0.8095
LogisticRegression,SMOTETomek,0.4786,0.6734,0.4838,0.4899,0.006099999999999994,0.7732,0.7761,0.2404,0.4142,0.1545,0.8079
LogisticRegression,SMOTE,0.4774,0.6719,0.4837,0.49,0.006299999999999972,0.773,0.7747,0.2393,0.4118,0.1556,0.8058
LogisticRegression,SMOTEENN,0.4717,0.6617,0.4779,0.4838,0.005900000000000016,0.7731,0.7657,0.2338,0.4073,0.1541,0.7977
SVM,ROS,0.4521,0.65,0.85,0.92,0.07000000000000006,0.86,0.9157,0.3096,0.2766,0.4344,0.3196
LogisticRegression,ADASYN,0.3323,0.4586,0.3398,0.3457,0.005900000000000016,0.6449,0.5746,0.1246,0.2829,0.1031,0.5763
LDA_lsqr,ADASYN,0.3282,0.4373,0.3384,0.3441,0.005700000000000038,0.6512,0.5469,0.1151,0.2715,0.1129,0.5945
LDA_svd,ADASYN,0.3282,0.4373,0.3384,0.3441,0.005700000000000038,0.6512,0.5469,0.1151,0.2715,0.1129,0.5945
